Sunday,left on shelf,amount decrease,Monday,left on shelf,amount decrease,Tuesday,left on shelf,amount decrease,Wednesday,left on shelf,amount decrease,Thursday,left on shelf,amount decrease,Friday,left on shelf,amount decrease,Saturday,left on shelf,amount decrease
dawg,0.1,0.8,dawg,0.6,0.5,dawg; cccd,0.1,0.6; 0.9,cccd,0.7,0.4,cccd; cc,0.3,0.7; 0.7,cc,0.7,0.6,,,
scbc; rocky,0.8,1; 0.2,rocky,0.1,0.7,rocky,0.5,0.6,rocky; sc,0.8,0.5; 0.2,sc; dawg,0.5,0.8; 0.5,dawg,0.2,0.3,,,
cc; tcp,0.8,0.1; 0.2,tcp,0.7,0.1,tcp,0.2,0.5,tcp,0.5,0.7,tcp; maf,0.1,0.5; 0.9,maf,0.5,0.6,,,
maf,0.5,0.2,maf; pepper,1,0.5; 0,peppermint,0.5,0.5,peppermint,0.2,0.3,pepper,0.8,0.4,pepper,0.4,0.4,,,
vanilla; mint,0.6,0.1; 0.4,mint; fv,0.9,0.6; 0.1,fv,0.9,1,fv,0.3,0.6,fv; vanilla,0.7,0.3; 0.3,vanilla; fv,0.1,0.7; 0.9,,,
cbp (mys),0,0.1,caf (mys),0.8,0.2,caf (mys),0.05,0.75,caf; strawcc,0.4,0.05; 0.6,straw ch; wild,1,0.4; 0,wild,0.9,0.1,,,
straw,0.5,0.3,straw; rasp,1,0.5; 0,raspberry,0.5,0.5,raspberry,0.1,0.4,rasp,0.3,0.8,rasp,0,0.3,,,
huckle,1,0.2,huckle,0.6,0.4,huckleberry,0.8,0.8,huckleberry,0.5,0.3,huckle,0.4,1.1,huckle,0.9,0.5,,,
,,,,,,,,,,,,,,,,,,,,
,,3.6,,,3.6,,,5.25,,,4.05,,,7.4,,,4.5,,,
